               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12664,            0.014152,            0.026822,                   0,                   0,                   0,                   0,             0.11409,            0.012462,            0.027003,                   0,                   0,                 0.1
                   1,             0.12585,             0.01501,            0.026438,                   0,                   0,                   0,                   0,             0.11396,            0.012488,            0.027057,               1e-05,               1e-05,             0.09991
                   2,             0.12926,            0.013479,            0.025938,                   0,                   0,                   0,                   0,             0.11394,            0.012491,            0.027064,               2e-05,               2e-05,             0.09982
                   3,             0.12417,             0.01411,            0.026851,                   0,                   0,                   0,                   0,             0.11242,            0.012492,            0.026618,          2.9999e-05,          2.9999e-05,             0.09973
                   4,               0.127,            0.012823,            0.025897,                   0,                   0,                   0,                   0,              0.1124,            0.012495,            0.026625,          3.9999e-05,          3.9999e-05,             0.09964
                   5,             0.12124,             0.01397,            0.025954,          0.00034013,            0.035714,          0.00019987,          2.2565e-05,             0.11037,            0.012483,             0.02605,          4.9997e-05,          4.9997e-05,             0.09955
                   6,             0.12379,            0.013916,            0.025313,          0.00034013,            0.035714,          0.00016073,          3.7712e-05,             0.10845,            0.012455,            0.025387,          5.9995e-05,          5.9995e-05,             0.09946
                   7,             0.12267,            0.013824,            0.024739,          0.00068026,            0.071429,          0.00031308,          7.1903e-05,             0.10706,            0.012408,            0.024658,          6.9992e-05,          6.9992e-05,             0.09937
                   8,             0.11893,            0.014283,             0.02392,          0.00095236,                 0.1,          0.00041719,          0.00010656,             0.10617,             0.01234,            0.023886,          7.9989e-05,          7.9989e-05,             0.09928
                   9,             0.11924,            0.013204,            0.023027,          0.00088433,            0.092857,          0.00037229,          0.00010929,             0.10563,            0.012253,            0.023123,          8.9984e-05,          8.9984e-05,             0.09919
                  10,             0.12077,            0.013667,            0.022557,          0.00074828,            0.078571,          0.00031572,           0.0001091,             0.10539,             0.01215,            0.022358,          9.9978e-05,          9.9978e-05,              0.0991
                  11,             0.11968,            0.013786,            0.021422,           0.0007483,            0.078571,           0.0002979,           0.0001074,             0.10492,            0.012065,            0.021611,          0.00010997,          0.00010997,             0.09901
                  12,              0.1199,            0.014075,            0.020774,          0.00081632,            0.085714,          0.00036535,          0.00011329,             0.10466,             0.01196,             0.02088,          0.00011996,          0.00011996,             0.09892
                  13,             0.11553,            0.013619,            0.020066,          0.00081632,            0.085714,          0.00032214,          0.00010038,             0.10419,            0.011856,            0.020182,          0.00012995,          0.00012995,             0.09883
                  14,             0.11513,            0.013534,            0.019435,          0.00081632,            0.085714,          0.00033982,          0.00010594,             0.10364,            0.011762,            0.019512,          0.00013994,          0.00013994,             0.09874
                  15,             0.11876,            0.012483,            0.018913,          0.00074829,            0.078571,            0.000309,          0.00010609,             0.10306,            0.011659,            0.018882,          0.00014993,          0.00014993,             0.09865
                  16,             0.11559,            0.015264,            0.018176,          0.00074829,            0.078571,          0.00029361,          0.00010654,              0.1029,             0.01155,            0.018273,          0.00015991,          0.00015991,             0.09856
                  17,             0.11451,            0.014062,            0.017422,          0.00074829,            0.078571,          0.00031139,          0.00011539,             0.10257,             0.01145,            0.017701,          0.00016989,          0.00016989,             0.09847
                  18,             0.11515,            0.013678,            0.016626,           0.0007483,            0.078571,          0.00031294,          0.00011024,             0.10255,            0.011352,            0.017156,          0.00017987,          0.00017987,             0.09838
                  19,             0.11515,            0.013584,            0.015965,           0.0007483,            0.078571,          0.00033108,          0.00011641,             0.10251,             0.01124,            0.016637,          0.00018985,          0.00018985,             0.09829
                  20,             0.11645,            0.012606,            0.015575,          0.00068027,            0.071429,          0.00034587,          0.00013585,             0.10225,            0.011154,            0.016156,          0.00019982,          0.00019982,              0.0982
                  21,             0.11541,            0.013679,             0.01518,          0.00068027,            0.071429,          0.00028953,          0.00010546,             0.10219,            0.011069,            0.015699,          0.00020979,          0.00020979,             0.09811
                  22,             0.12023,            0.013383,             0.01354,          0.00086269,            0.078571,          0.00033788,          0.00011369,             0.10216,            0.010985,            0.015271,          0.00021976,          0.00021976,             0.09802
                  23,             0.11485,            0.013139,            0.014108,          0.00068026,            0.071429,          0.00028881,          0.00010342,             0.10203,            0.010906,            0.014868,          0.00022973,          0.00022973,             0.09793
                  24,             0.11182,            0.012639,            0.014143,          0.00068026,            0.071429,          0.00032264,          0.00011053,             0.10194,            0.010828,             0.01448,          0.00023969,          0.00023969,             0.09784
                  25,             0.11482,            0.012435,            0.013484,          0.00074829,            0.078571,          0.00037262,          0.00011252,             0.10197,            0.010754,            0.014113,          0.00024965,          0.00024965,             0.09775
                  26,             0.11402,            0.013744,            0.012547,          0.00074829,            0.078571,          0.00039065,          0.00012775,             0.10207,            0.010675,            0.013759,          0.00025961,          0.00025961,             0.09766
                  27,             0.11077,            0.013219,            0.012902,          0.00074829,            0.078571,          0.00039878,           0.0001221,             0.10202,            0.010605,            0.013423,          0.00026956,          0.00026956,             0.09757
                  28,             0.11285,             0.01315,            0.011804,          0.00074829,            0.078571,           0.0003713,          0.00012475,             0.10208,            0.010539,            0.013103,          0.00027951,          0.00027951,             0.09748
                  29,             0.11175,             0.01386,            0.011719,           0.0007483,            0.078571,          0.00042439,          0.00014106,             0.10207,            0.010478,            0.012796,          0.00028946,          0.00028946,            0.097389
                  30,             0.11265,             0.01334,            0.011469,          0.00068027,            0.071429,          0.00034023,          0.00012249,             0.10203,             0.01042,            0.012502,           0.0002994,           0.0002994,            0.097299
                  31,             0.11275,            0.013264,            0.011415,          0.00068027,            0.071429,          0.00032281,           0.0001163,             0.10201,            0.010365,            0.012222,          0.00030934,          0.00030934,            0.097209
                  32,             0.11344,            0.012226,            0.010818,          0.00068026,            0.071429,          0.00031758,          0.00012009,             0.10211,            0.010311,            0.011956,          0.00031927,          0.00031927,            0.097119
                  33,             0.11682,             0.01211,            0.010267,          0.00074829,            0.078571,          0.00031346,          0.00010875,             0.10225,            0.010256,            0.011702,           0.0003292,           0.0003292,            0.097029
                  34,             0.11042,            0.012888,             0.01044,          0.00068026,            0.071429,          0.00029017,          0.00011216,             0.10227,            0.010209,            0.011454,          0.00033913,          0.00033913,            0.096939
                  35,             0.11147,            0.012826,            0.010063,          0.00081632,            0.085714,           0.0003567,           0.0001163,             0.10238,            0.010162,             0.01122,          0.00034905,          0.00034905,            0.096849
                  36,             0.11167,            0.012738,            0.010109,          0.00074829,            0.078571,            0.000338,          0.00010607,             0.10226,            0.010127,            0.010994,          0.00035897,          0.00035897,            0.096759
                  37,             0.11019,            0.013334,           0.0097174,          0.00074829,            0.078571,           0.0003298,          0.00010993,             0.10213,            0.010094,            0.010777,          0.00036888,          0.00036888,            0.096669
                  38,             0.11298,            0.012907,            0.009379,          0.00074829,            0.078571,           0.0003233,          0.00010672,             0.10228,            0.010052,             0.01057,          0.00037878,          0.00037878,            0.096579
                  39,             0.11161,            0.012742,           0.0098231,           0.0007483,            0.078571,          0.00032669,          0.00010077,             0.10238,            0.010013,            0.010369,          0.00038868,          0.00038868,            0.096489
                  40,             0.11468,            0.010793,           0.0088756,           0.0007483,            0.078571,           0.0003338,          0.00010587,             0.10234,           0.0099829,            0.010178,          0.00039858,          0.00039858,            0.096399
                  41,             0.11172,            0.012812,           0.0088068,          0.00068027,            0.071429,          0.00031518,          0.00010846,              0.1022,           0.0099647,           0.0099948,          0.00040847,          0.00040847,            0.096308
                  42,             0.11246,            0.011273,           0.0083535,           0.0007483,            0.078571,          0.00036411,          0.00011401,             0.10229,           0.0099331,           0.0098183,          0.00041836,          0.00041836,            0.096218
                  43,             0.11489,            0.010557,           0.0080479,          0.00068026,            0.071429,          0.00028838,          0.00010334,             0.10224,            0.009902,           0.0096513,          0.00042824,          0.00042824,            0.096128
                  44,             0.11217,            0.011344,           0.0084947,          0.00068026,            0.071429,          0.00027396,          9.8583e-05,             0.10226,           0.0098769,           0.0094864,          0.00043811,          0.00043811,            0.096038
                  45,             0.11104,            0.012596,           0.0076116,          0.00081631,            0.085714,          0.00034375,          0.00011601,             0.10246,            0.009845,           0.0093306,          0.00044798,          0.00044798,            0.095948
                  46,             0.11107,            0.011997,           0.0081975,          0.00074829,            0.078571,          0.00031912,           0.0001156,             0.10238,            0.009825,           0.0091791,          0.00045784,          0.00045784,            0.095858
                  47,             0.11081,            0.012943,           0.0075797,          0.00074829,            0.078571,          0.00031807,          0.00010967,             0.10239,           0.0098034,           0.0090302,           0.0004677,           0.0004677,            0.095768
                  48,             0.11027,            0.011867,           0.0081649,          0.00074829,            0.078571,          0.00034584,          0.00011525,              0.1023,           0.0097919,           0.0088865,          0.00047755,          0.00047755,            0.095678
                  49,             0.10886,            0.011541,           0.0079526,          0.00068027,            0.071429,          0.00031042,          0.00011204,             0.10204,           0.0097899,           0.0087466,          0.00048739,          0.00048739,            0.095587
                  50,             0.11134,            0.011846,           0.0072269,          0.00074829,            0.078571,           0.0002959,          0.00010034,             0.10195,           0.0097792,           0.0086098,          0.00049723,          0.00049723,            0.095497
                  51,             0.11583,            0.011714,           0.0064525,          0.00081632,            0.085714,           0.0003388,          0.00010407,             0.10195,           0.0097683,           0.0084823,          0.00050706,          0.00050706,            0.095407
                  52,             0.11127,            0.013942,           0.0070169,          0.00074829,            0.078571,          0.00035699,          0.00011802,             0.10182,           0.0097628,           0.0083579,          0.00051688,          0.00051688,            0.095317
                  53,             0.11088,            0.013509,           0.0070484,           0.0007483,            0.078571,          0.00035558,          0.00011362,             0.10177,           0.0097546,           0.0082359,           0.0005267,           0.0005267,            0.095227
                  54,              0.1129,            0.012105,            0.006463,          0.00088435,            0.092857,          0.00040528,          0.00011704,             0.10179,           0.0097394,            0.008122,          0.00053651,          0.00053651,            0.095137
                  55,             0.11024,            0.011675,           0.0070729,          0.00088435,            0.092857,          0.00039574,          0.00011115,             0.10179,           0.0097332,           0.0080069,          0.00054631,          0.00054631,            0.095046
                  56,             0.11069,            0.013979,           0.0070936,           0.0010195,            0.092857,          0.00040419,          0.00011783,             0.10183,           0.0097163,           0.0078959,          0.00055611,          0.00055611,            0.094956
                  57,             0.11113,            0.012749,           0.0065238,          0.00088433,            0.092857,          0.00042684,          0.00012308,             0.10181,           0.0097011,           0.0077868,           0.0005659,           0.0005659,            0.094866
