               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,             0.11531,            0.027833,                   0,           0.0018182,            0.086957,          0.00098957,          0.00023204,             0.11961,            0.035342,                   0,           0.0011563,           0.0011563,            0.089556
                  39,              0.1028,            0.028165,                   0,           0.0022727,              0.1087,           0.0012629,          0.00032444,             0.11979,            0.035189,                   0,            0.001186,            0.001186,            0.089286
                  40,             0.11515,            0.031267,                   0,           0.0025379,             0.12138,           0.0014248,          0.00032828,             0.11955,            0.035053,                   0,           0.0012157,           0.0012157,            0.089016
                  41,            0.098187,            0.027452,                   0,           0.0029545,              0.1413,           0.0016882,          0.00039286,             0.11966,            0.034852,                   0,           0.0012453,           0.0012453,            0.088745
                  42,              0.1089,            0.030033,                   0,             0.00375,             0.17935,           0.0022496,          0.00051197,             0.12033,            0.034669,                   0,            0.001275,            0.001275,            0.088475
                  43,             0.10867,            0.029536,                   0,           0.0042045,             0.20109,           0.0025661,          0.00056609,             0.12024,            0.034573,                   0,           0.0013046,           0.0013046,            0.088205
                  44,            0.087712,            0.026178,                   0,           0.0043561,             0.20833,           0.0026495,          0.00060031,             0.11993,            0.034391,                   0,           0.0013342,           0.0013342,            0.087934
                  45,             0.10513,            0.028428,                   0,           0.0035606,             0.17029,           0.0020944,           0.0004627,             0.11947,            0.034361,                   0,           0.0013638,           0.0013638,            0.087664
                  46,             0.10411,            0.029002,                   0,           0.0052652,             0.25181,            0.003356,           0.0007757,             0.11875,            0.034622,                   0,           0.0013934,           0.0013934,            0.087393
                  47,            0.097489,            0.027395,                   0,           0.0066288,             0.31703,           0.0063089,           0.0013003,             0.11851,            0.034516,                   0,            0.001423,            0.001423,            0.087123
                  48,            0.085778,            0.028808,                   0,           0.0080925,            0.096014,           0.0054679,           0.0011151,             0.11728,            0.034367,                   0,           0.0014525,           0.0014525,            0.086853
                  49,            0.086993,            0.025764,                   0,            0.024332,             0.15761,           0.0082584,           0.0016412,             0.11652,            0.034256,                   0,           0.0014821,           0.0014821,            0.086582
                  50,             0.07498,            0.027386,                   0,             0.01677,            0.070652,           0.0055448,           0.0011199,             0.11676,            0.034414,                   0,           0.0015116,           0.0015116,            0.086312
                  51,            0.087655,            0.028087,                   0,            0.016781,            0.081522,           0.0056618,             0.00121,              0.1156,            0.034581,                   0,           0.0015411,           0.0015411,            0.086041
                  52,             0.08153,            0.027135,                   0,            0.057095,             0.17029,            0.019408,           0.0036374,             0.11325,            0.034665,                   0,           0.0015705,           0.0015705,            0.085771
                  53,            0.086019,             0.02439,                   0,            0.052551,             0.18037,            0.019479,           0.0038239,             0.10984,            0.034344,                   0,              0.0016,              0.0016,              0.0855
                  54,            0.083206,             0.02544,                   0,            0.072164,             0.20109,            0.032565,           0.0060954,              0.1063,            0.033724,                   0,           0.0016294,           0.0016294,            0.085229
                  55,            0.081269,            0.025877,                   0,             0.15817,             0.20109,            0.075278,            0.013807,            0.098746,            0.033431,                   0,           0.0016588,           0.0016588,            0.084959
                  56,            0.075645,            0.026378,                   0,             0.18642,             0.23007,            0.098904,            0.018691,             0.10284,            0.032044,                   0,           0.0016882,           0.0016882,            0.084688
                  57,            0.094361,            0.025697,                   0,            0.075932,             0.19203,            0.032627,           0.0065802,             0.10399,            0.034658,                   0,           0.0017176,           0.0017176,            0.084418
                  58,            0.083051,            0.025928,                   0,             0.48275,             0.28574,             0.26798,            0.058726,            0.095439,             0.03244,                   0,           0.0017469,           0.0017469,            0.084147
                  59,            0.094037,            0.025717,                   0,             0.53969,             0.36594,              0.3375,            0.079377,             0.08715,            0.030554,                   0,           0.0017762,           0.0017762,            0.083876
                  60,            0.091207,            0.026318,                   0,              0.4022,             0.43147,             0.31741,             0.06545,            0.090309,             0.03027,                   0,           0.0018055,           0.0018055,            0.083605
                  61,            0.078048,            0.027214,                   0,              0.3653,             0.44746,             0.31809,            0.088281,            0.086436,            0.030352,                   0,           0.0018348,           0.0018348,            0.083335
                  62,            0.075736,            0.024006,                   0,             0.35197,             0.36775,             0.23445,            0.049965,              0.0876,            0.033043,                   0,            0.001864,            0.001864,            0.083064
                  63,            0.084168,            0.025457,                   0,              0.4353,             0.36594,             0.29898,            0.072688,            0.084027,            0.031852,                   0,           0.0018932,           0.0018932,            0.082793
                  64,            0.073536,            0.025879,                   0,             0.39283,             0.42572,             0.30013,            0.068843,            0.086059,            0.030683,                   0,           0.0019224,           0.0019224,            0.082522
                  65,            0.086858,            0.026531,                   0,             0.52505,              0.4526,             0.35016,            0.086322,            0.077543,            0.031214,                   0,           0.0019516,           0.0019516,            0.082252
                  66,            0.085462,            0.025847,                   0,             0.48388,             0.45652,             0.35864,            0.086063,            0.083302,            0.032523,                   0,           0.0019807,           0.0019807,            0.081981
                  67,            0.075509,             0.02546,                   0,             0.39071,             0.50302,             0.36432,            0.093932,            0.079797,            0.029705,                   0,           0.0020098,           0.0020098,             0.08171
                  68,            0.074126,             0.02563,                   0,             0.50594,             0.52316,             0.41821,             0.11717,            0.074475,            0.030318,                   0,           0.0020389,           0.0020389,            0.081439
