               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1335,             0.02478,                   0,                   0,                   0,                   0,                   0,             0.12971,            0.031559,                   0,               2e-05,               2e-05,             0.09982
                   1,             0.12982,            0.027513,                   0,                   0,                   0,                   0,                   0,             0.12709,            0.033181,                   0,          4.9989e-05,          4.9989e-05,             0.09955
                   2,            0.097869,            0.026367,                   0,                   0,                   0,                   0,                   0,             0.12329,            0.035807,                   0,          7.9929e-05,          7.9929e-05,             0.09928
                   3,            0.096515,            0.028078,                   0,                   0,                   0,                   0,                   0,             0.12067,            0.037573,                   0,          0.00010978,          0.00010978,             0.09901
                   4,             0.12287,            0.029132,                   0,          3.7879e-05,           0.0018116,          1.9028e-05,          1.9028e-06,             0.11998,            0.037994,                   0,           0.0001395,           0.0001395,             0.09874
                   5,             0.12013,            0.031323,                   0,          3.7879e-05,           0.0018116,          1.9043e-05,          1.9043e-06,             0.11997,             0.03786,                   0,          0.00016906,          0.00016906,            0.098469
                   6,             0.12376,            0.030902,                   0,                   0,                   0,                   0,                   0,             0.11948,            0.037625,                   0,          0.00019841,          0.00019841,            0.098198
                   7,             0.12155,            0.030368,                   0,                   0,                   0,                   0,                   0,             0.11934,            0.037462,                   0,          0.00022751,          0.00022751,            0.097928
                   8,             0.12305,            0.030893,                   0,                   0,                   0,                   0,                   0,              0.1196,            0.037352,                   0,          0.00025632,          0.00025632,            0.097656
                   9,             0.12104,            0.030916,                   0,                   0,                   0,                   0,                   0,              0.1194,            0.037249,                   0,          0.00028482,          0.00028482,            0.097385
                  10,             0.11845,            0.031739,                   0,                   0,                   0,                   0,                   0,             0.11946,            0.037132,                   0,          0.00031295,          0.00031295,            0.097113
                  11,             0.11968,            0.030217,                   0,                   0,                   0,                   0,                   0,             0.11941,            0.036996,                   0,          0.00034069,          0.00034069,            0.096841
                  12,             0.12055,            0.031617,                   0,                   0,                   0,                   0,                   0,              0.1194,            0.036856,                   0,          0.00036799,          0.00036799,            0.096568
